Condition,Kras,wt,cassette,esr1y,esr1,set,tiempo,,,,,,,
0.956,0,0,1,0,0,0,2,,,,,,,
1.182,0,0,1,0,0,0,2,,,,,,,
1.450,0,0,1,0,0,0,2,,,,,,,
0.794,0,0,1,0,0,0,2,,,,,,,
0.856,0,0,1,0,0,0,2,,,,,,,
0.785,0,0,1,0,0,0,2,,,,,,,
0.933,0,0,1,0,0,0,2,,,,,,,
0.700,0,0,1,0,0,0,2,,,,,,,
0.890,0,0,1,0,0,0,3,,,,,,,
0.926,0,0,1,0,0,0,3,,,,,,,
1.012,0,0,1,0,0,0,3,,,,,,,
0.958,0,0,1,0,0,0,3,,,,,,,
0.775,0,0,1,0,0,0,3,,,,,,,
0.739,0,0,1,0,0,0,3,,,,,,,
1.086,0,0,1,0,0,0,3,,,,,,,
0.883,0,0,1,0,0,0,3,,,,,,,
0.718,0,0,1,0,0,0,3,,,,,,,
0.666,0,0,1,0,0,0,3,,,,,,,
1.000,1,0,0,0,0,1,0,,,,,,,
1.000,1,0,0,0,0,1,0,,,,,,,
1.000,1,0,0,0,0,1,0,,,,,,,
1.000,1,0,0,0,0,1,0,,,,,,,
1.000,1,0,0,0,0,1,0,,,,,,,
1.000,1,0,0,0,0,1,0,,,,,,,
1.000,1,0,0,0,0,1,0,,,,,,,
1.000,1,0,0,0,0,1,0,,,,,,,
1.000,1,0,0,0,0,1,0,,,,,,,
0.954,1,0,0,0,0,1,1,,,,,,,
0.902,1,0,0,0,0,1,1,,,,,,,
1.022,1,0,0,0,0,1,1,,,,,,,
0.946,1,0,0,0,0,1,1,,,,,,,
1.005,1,0,0,0,0,1,1,,,,,,,
1.034,1,0,0,0,0,1,1,,,,,,,
1.092,1,0,0,0,0,1,1,,,,,,,
0.975,1,0,0,0,0,1,1,,,,,,,
1.139,1,0,0,0,0,1,1,,,,,,,
0.835,1,0,0,0,0,1,2,,,,,,,
0.839,1,0,0,0,0,1,2,,,,,,,
0.847,1,0,0,0,0,1,2,,,,,,,
0.838,1,0,0,0,0,1,2,,,,,,,
0.796,1,0,0,0,0,1,2,,,,,,,
0.707,1,0,0,0,0,1,2,,,,,,,
